2025-11-18 13:41:07,007 - ERROR - Error processing response_20240819_003307_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,008 - ERROR - Error processing response_20240819_003405_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,010 - ERROR - Error processing response_20240819_003502_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,012 - ERROR - Error processing response_20240819_003558_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,013 - ERROR - Error processing response_20240819_003655_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,015 - ERROR - Error processing response_20240819_003753_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,016 - ERROR - Error processing response_20240819_003850_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,018 - ERROR - Error processing response_20240819_003947_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,019 - ERROR - Error processing response_20240819_004044_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,021 - ERROR - Error processing response_20240819_004141_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,023 - ERROR - Error processing response_20240819_004238_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,025 - ERROR - Error processing response_20240819_004335_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,027 - ERROR - Error processing response_20240819_004432_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,029 - ERROR - Error processing response_20240819_004626_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,031 - ERROR - Error processing response_20240819_004723_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,032 - ERROR - Error processing response_20240819_004820_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,034 - ERROR - Error processing response_20240819_004917_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,036 - ERROR - Error processing response_20240819_005014_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,038 - ERROR - Error processing response_20240819_005111_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,039 - ERROR - Error processing response_20240819_005208_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,041 - ERROR - Error processing response_20240819_005305_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,042 - ERROR - Error processing response_20240819_005402_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,044 - ERROR - Error processing response_20240819_005459_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,045 - ERROR - Error processing response_20240819_005556_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,047 - ERROR - Error processing response_20240819_005653_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,048 - ERROR - Error processing response_20240819_005750_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,050 - ERROR - Error processing response_20240819_005847_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,052 - ERROR - Error processing response_20240819_005945_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,055 - ERROR - Error processing response_20240819_010042_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,058 - ERROR - Error processing response_20240819_010138_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,059 - ERROR - Error processing response_20240819_010236_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,060 - ERROR - Error processing response_20240819_010333_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,062 - ERROR - Error processing response_20240819_010430_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,064 - ERROR - Error processing response_20240819_010527_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,065 - ERROR - Error processing response_20240819_010624_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,067 - ERROR - Error processing response_20240819_010721_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,068 - ERROR - Error processing response_20240819_010818_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,070 - ERROR - Error processing response_20240819_010915_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,072 - ERROR - Error processing response_20240819_011012_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,073 - ERROR - Error processing response_20240819_011109_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,075 - ERROR - Error processing response_20240819_011206_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,076 - ERROR - Error processing response_20240819_011303_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,078 - ERROR - Error processing response_20240819_011400_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,080 - ERROR - Error processing response_20240819_011457_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,081 - ERROR - Error processing response_20240819_011554_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,082 - ERROR - Error processing response_20240819_011651_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,084 - ERROR - Error processing response_20240819_011748_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,086 - ERROR - Error processing response_20240819_011845_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,088 - ERROR - Error processing response_20240819_011943_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
